Haplogroup,PC1,PC2
BAN,1.8317834706600977,3.398110158578469
BAN,10.925128810024674,-6.997337215402058
BAN,5.019372521956205,-4.727700254926127
BAN,1.5415706213722657,-1.3856979127636941
BAN,-1.4760660018030742,-0.09840925470523967
BAN,3.0749566684856973,-5.377825555083519
BAN,3.6214250087435844,-5.104330540328849
BAN,6.040338035812422,-4.677437851826841
BAN,6.148647564904462,-5.583126802375881
GK,-1.7720232006120613,-0.40030846141679105
GK,-4.407696011657715,-0.9609626272294096
GK,-4.33194023779738,-1.8021765319796634
GK,-6.760970888049612,3.4347756096236215
GK,-11.569570884120667,2.510375804701714
GK,-1.889018484048601,-1.0784828780617146
GK,-4.9531133864992345,0.9743920515764586
GK,-3.059973326095692,-1.4845279211027733
GK,-4.123868531317898,1.0299505646705103
GK,-1.3662657432201541,-0.5624953911773576
GK,0.9841749631256289,-1.4418286537232459
GK,-3.6859202760448118,0.36333523996072714
GK,-12.866477739549405,4.8706091018728905
GK,-1.890035357707657,-1.4130215583653263
KOR,7.165244029832381,-4.226497869621319
KOR,4.625574545471653,-3.603991084373929
KOR,4.223217282515184,-6.076522602569849
LD,-2.639166862951746,5.856041105560044
LD,14.961694203000505,-2.855619289284332
LD,-0.499570677275349,-1.6593309074140357
LD,-16.07464531011268,12.687627533908254
LD,3.859773599006698,-3.7080568925821975
LD,6.592890506163201,-0.9739183116773464
LD,-10.819803968491792,4.869877393048615
ZPB,2.5737332420737613,-6.999364833809113
ZPB,-1.4858693216744847,-2.0763973914074567
ZPB,-1.8162036023484658,-3.989938653003199
ZPB,4.2082439806207335,-5.281991445455275
ZPB,8.374074552712408,-3.2580148847717445
ZPB,-10.66810852591051,4.7741651356243935
ZPB,1.1664576652111853,-4.048786674161031
ZPB,1.131613424489888,-3.546424043765922
ZPB,-6.287829822909675,4.200283128398476
ZPB,-8.492254131803795,4.738603875565986
ZPB,-9.41777186477715,4.751678251403106
ZPB,-5.912950881624511,1.574265535450072
ZPB,-6.557080054422641,0.6396416114166573
ZPB,-8.321170647348655,-0.24988759442905065
ZPB,2.5256624082929546,-5.530079733598415
ZPB,0.11944968713511935,-1.080866411151608
ZPB,0.6403406293177182,-4.2319877158247845
ZV,-3.5720104261645393,-1.1626240071649898
LD,-0.36509307591875884,3.455260037170262
GK,-8.306781710910686,5.370250689500403
BAN,0.7517668998502097,-1.3426598733463304
ZPB,-2.747944284758945,2.828636969013403
ZPB,-2.400216570931515,-2.3410883460879264
LD,-2.5884151425614044,-2.6821010308553226
GK,3.4611235135017617,-0.10107452099560957
BAN,5.870591751836082,0.69107042160412
LD,6.796647185977053,-2.433394860812523
LD,0.6924931296283634,0.7461640978191515
BAN,10.469349706621784,-4.9006985429660395
VOJ,22.967955190805238,32.992257923083464
VOJ,20.76053215227232,14.699614692047078
