,A. torrentium - CSE,A. torrentium - SB,A. torrentium - NCD,A. bihariensis
A. torrentium - CSE,0.0,5.516932844711157,1.9745658164609796,2.2992034859399144
A. torrentium - SB,5.516932844711157,0.0,7.35968906274824,5.23404202783213
A. torrentium - NCD,1.9745658164609796,7.35968906274824,0.0,3.930792374499082
A. bihariensis,2.2992034859399144,5.23404202783213,3.930792374499082,0.0
