variable,domain,description,unit,mean_CSE,sd_CSE,mean_SB,sd_SB,mean_NCD,sd_NCD,mean_AUB,sd_AUB
l_CLI1,Climate,Annual mean air temperature [minimum],°C,9.560161662817551,1.698089400677575,9.804782608695652,2.3814693449096205,10.3671875,3.1898925039110546,8.48728813559322,1.4476971374404806
l_CLI12,Climate,Isothermality (bio2 / bio7) (× 100) [sd],°C,0.08923625866050808,0.08904397894802257,0.07521521739130435,0.09531693757344746,0.08154375,0.08737267902315082,0.0798322033898305,0.06758119112103032
l_CLI13,Climate,Temperature seasonality (standard deviation × 100) [minimum],°C/100,725.2471131639722,45.46503792322018,739.7947826086956,31.82947699613882,694.453125,80.6013981696643,741.0050847457626,59.41390010278511
l_CLI16,Climate,Temperature seasonality (standard deviation × 100) [sd],°C/100,2.552797690531177,2.7319836369291,2.0525895652173913,3.0579968401106052,2.3828671874999996,2.8332642709820965,2.542700000000001,1.9618601052976794
l_CLI17,Climate,Max temperature of warmest month [minimum],°C,23.970092378752888,1.9636011868696863,24.578260869565216,2.706394098171831,24.762500000000003,2.6118472451018326,22.631355932203387,1.483759737064897
l_CLI18,Climate,Max temperature of warmest month [maximum],°C,24.424133949191685,1.873036193955667,25.2,2.720819777568653,25.2328125,2.411056192685213,23.102542372881352,1.4285700509302866
l_CLI2,Climate,Annual mean air temperature [maximum],°C,9.932909930715935,1.6075872862997052,10.35608695652174,2.385904274353718,10.743749999999999,3.0616872099266725,8.88728813559322,1.3920833190835245
l_CLI21,Climate,Min temperature of coldest month [minimum],°C,-4.5017321016166285,1.7284661907334975,-5.257826086956522,2.4166506767920852,-3.4562500000000003,3.772535461665511,-5.875423728813558,1.9448954603888173
l_CLI24,Climate,Min temperature of coldest month [sd],°C,0.07744642032332565,0.10357866259416135,0.1443608695652174,0.16715606346712553,0.074653125,0.1072064170798336,0.09608644067796611,0.08635274381685279
l_CLI25,Climate,Temperature annual range (bio5 – bio6) [minimum],°C,28.467898383371825,1.456724340589178,29.826521739130435,1.3432155536408916,28.2125,2.037154878746336,28.503389830508475,1.7009090978665329
l_CLI28,Climate,Temperature annual range (bio5 – bio6) [sd],°C,0.0794810623556582,0.0823190277257977,0.06464608695652173,0.09421395356186155,0.0721875,0.0802648937867806,0.07528983050847457,0.06462322816864145
l_CLI29,Climate,Mean temperature of wettest quarter [minimum],°C,15.804965357967667,3.82180386452389,11.22304347826087,4.747075803908942,11.2875,4.032664249894969,16.233050847457626,1.3710243518012466
l_CLI30,Climate,Mean temperature of wettest quarter [maximum],°C,16.262009237875287,3.7547986433051643,11.95391304347826,4.658085180306464,11.6484375,3.9523949816876653,16.70762711864407,1.3506324686822824
l_CLI32,Climate,Mean temperature of wettest quarter [sd],°C,0.1569198614318707,0.22610535794546616,0.2350386956521739,0.48408814097651554,0.1074515625,0.13486586515802074,0.1699050847457627,0.13198224988249146
l_CLI33,Climate,Mean temperature of driest quarter [minimum],°C,2.8077367205542725,4.363468024294667,9.886521739130433,8.910053498776183,5.2609375,7.444783348569847,0.23135593220338976,2.74153710825799
l_CLI34,Climate,Mean temperature of driest quarter [maximum],°C,3.180715935334873,4.401441650938985,10.712608695652174,9.003788245620642,5.8609375,7.579653574767917,0.5703389830508474,2.707701637731041
l_CLI36,Climate,Mean temperature of driest quarter [sd],°C,0.131059584295612,0.38427598565933846,0.29977695652173914,0.8499637957557368,0.142853125,0.35727199676523635,0.12182203389830508,0.10298336837232105
l_CLI4,Climate,Annual mean air temperature [sd],°C,0.12639538106235565,0.1424982505640023,0.17940391304347827,0.20943120168183227,0.11264375000000001,0.1429984913617834,0.1419,0.11520461556845656
l_CLI41,Climate,Mean temperature of coldest quarter [minimum],°C,0.08418013856812934,1.7296395832211258,0.18652173913043493,2.301768085730196,1.303125,3.983456612955836,-1.397457627118644,1.9789718623048362
l_CLI45,Climate,Annual precipitation [minimum],kg/m²,1081.1140877598152,377.4997022443781,764.2178260869566,191.96355887021392,1445.3406249999998,313.47141117652177,1037.8966101694916,176.22847529713323
l_CLI48,Climate,Annual precipitation [sd],kg/m²,7.989933718244803,8.70714850002036,6.556839565217391,8.07887908434824,8.0583890625,8.41544072769258,8.50477627118644,6.457476920896426
l_CLI49,Climate,Precipitation of wettest month [minimum],kg/m²,129.1217090069284,44.40656065808231,89.92826086956522,25.408540178309842,166.0828125,37.883612718419634,129.0949152542373,20.733667637434312
l_CLI5,Climate,Mean diurnal range (mean of monthly (max temp – min temp)) [minimum],°C,8.654041570438798,0.5662895543615551,9.746086956521737,0.8068794768874331,8.815625,0.590995595288826,8.679661016949153,0.37314121437856934
l_CLI53,Climate,Precipitation of driest month [minimum],kg/m²,56.10254041570439,18.28201828588472,43.69347826086957,10.823212200945099,77.3296875,22.931953721567105,54.44406779661018,10.063355702514166
l_CLI56,Climate,Precipitation of driest month [sd],kg/m²,0.40830554272517317,0.4360586471097748,0.3652156521739131,0.4248643111606863,0.37790468749999995,0.40952638670328684,0.4455084745762712,0.34323612676996396
l_CLI57,Climate,Precipitation seasonality (coefficient of variation) [minimum],kg/m²,25.463972286374137,8.037527427472847,21.592173913043478,6.109891012058166,24.015625,18.87996518316335,24.932203389830505,5.090574138677053
l_CLI60,Climate,Precipitation seasonality (coefficient of variation) [sd],kg/m²,0.04674272517321016,0.049941068965412554,0.06451521739130435,0.07336294939435711,0.037375000000000005,0.038006423851347206,0.04742033898305085,0.03942363101797866
l_CLI69,Climate,Precipitation of warmest quarter [minimum],kg/m²,327.43903002309474,100.75553461492052,193.24739130434781,66.03598706047676,343.1390625,69.45185066657262,338.3610169491526,62.140383384911985
l_CLI72,Climate,Precipitation of warmest quarter [sd],kg/m²,2.4796383371824477,2.769675840365221,1.695614347826087,2.2134060797948294,1.769140625,1.8016711691691905,2.811708474576271,2.1861902791502574
l_CLI73,Climate,Precipitation of coldest quarter [minimum],kg/m²,211.17713625866054,91.56628447682648,183.74391304347824,55.200606227220625,316.046875,100.28912167621823,207.071186440678,43.88283008369328
l_CLI76,Climate,Precipitation of coldest quarter [sd],kg/m²,1.551485219399538,1.8184215555957044,1.5752960869565218,2.093867508004345,1.839046875,2.004494941966937,1.6791440677966103,1.2777623496419348
l_CLI8,Climate,Mean diurnal range (mean of monthly (max temp – min temp)) [sd],°C,0.0075381062355658205,0.016040474071622377,0.011210000000000003,0.018834427619533835,0.0052,0.013637099258657475,0.010147457627118644,0.018252608277781537
l_CLI9,Climate,Isothermality (bio2 / bio7) (× 100) [minimum],°C,30.18591224018476,1.5994820231188545,32.458260869565216,2.0569610266785228,31.1765625,3.626215929076165,30.345762711864406,1.888195821403313
