LABEL,PC1,PC2
A. bihariensis,1.7203465687986546,-1.3929968373788097
A. torrentium - CSE,-0.5787622275665876,-1.413863371212223
A. torrentium - NCD,-1.9283568395505801,-2.855218479032635
A. torrentium - SB,1.1848627596019523,3.8135810252101345
