group,DT_precision,DT_recall,DT_F1,RF_precision,RF_recall,RF_F1
A. torrentium - CSE,0.8778625954198473,0.7967667436489607,0.8353510895883777,0.8235294117647058,0.9376443418013857,0.8768898488120951
A. torrentium - SB,0.8584070796460177,0.8434782608695652,0.8508771929824561,0.9342723004694836,0.8652173913043478,0.8984198645598194
A. torrentium - NCD,0.46938775510204084,0.71875,0.5679012345679012,0.6190476190476191,0.40625,0.49056603773584906
A. bihariensis,0.6666666666666666,0.7796610169491526,0.71875,0.9473684210526315,0.6101694915254238,0.7422680412371134
