variable,PC1,PC2,PC3,PC4,PC5
l_CLI1,-0.10099251673046605,0.03939071293590529,0.10446173673067403,0.04416637774364679,-0.0854216937393213
l_CLI2,-0.0810792957062398,0.03346451916608155,0.13539311209103466,0.043096494515245505,-0.09678906798725337
l_CLI4,0.08973675869359389,-0.030251008497653303,0.10894575634268752,-0.009227736135401293,-0.03246595599248632
l_CLI5,0.0025391699920657472,0.07301507202995411,0.07439170593582256,-0.03448038701459913,0.06327396296409339
l_CLI8,0.013176887570889632,0.01432999910677587,0.013210953000773556,-0.02133893830132622,-0.036880114790235646
l_CLI9,0.012929597980462946,0.06964752857374469,0.030939495106199998,-0.044297568314791716,-0.06754814054328706
l_CLI12,0.053213845040329485,-0.060902711560271355,0.09406848773629384,0.007644135883651146,-0.046839638702456665
l_CLI13,-0.026958670637550117,0.01428313860158214,0.043390390389506074,-0.00018613191056456228,0.18253791324748522
l_CLI16,0.05955513076829879,-0.07122353020963933,0.09846562656462866,0.004000956653760212,-0.029062508499446943
l_CLI17,-0.10720399113671158,0.03805699640903217,0.11848357640888797,0.038658258113300814,-0.024664788587548704
l_CLI18,-0.08653863880614934,0.02969041106589739,0.15136440095123438,0.03792721716769418,-0.03461231091295726
l_CLI21,-0.09149048522333533,0.008559461211373735,0.07008992297572675,0.042442771971081004,-0.13098486330506895
l_CLI24,0.09251003828319429,-0.007895253140567058,0.10087700767167826,-0.016844374721513802,-0.03684182189143497
l_CLI25,-0.02359467141635999,0.04118027657838723,0.06931788464633415,-0.004281369257457431,0.1486755386137807
l_CLI28,0.05592595602595497,-0.06405224538499195,0.09968496364948941,0.00963717145646145,-0.03216793450330631
l_CLI29,-0.046263869615602735,-0.042222064434607944,-0.03955660859335028,-0.035716662815124284,0.014509481302561307
l_CLI30,-0.03513197145722802,-0.04563246289812946,-0.025300220493675914,-0.040269125287160985,0.011749741593854486
l_CLI32,0.0565480253156324,-0.012408834941854904,0.06497145215364576,-0.01447136029119569,-0.010282518448529213
l_CLI33,-0.031900819800132894,0.10787468933180615,0.09000302059526961,0.0012551877512984725,-0.06413252646815627
l_CLI34,-0.024398930316619043,0.10607247770959431,0.0983888287121386,0.00068466584699351,-0.06555272705698
l_CLI36,0.02973313158794146,0.007514005721948527,0.046200843062108775,-0.006732565982824568,-0.008971029576379824
l_CLI41,-0.086056994824422,0.035203068149717825,0.0870609151089977,0.04047400349043891,-0.13358732948880042
