LABEL,Haplogroup,PC1,PC2
A. torrentium - NCD,BAN,-0.7031594501654548,5.639479571288244
A. torrentium - NCD,BAN,-12.098277900886973,-4.002707994791573
A. torrentium - NCD,BAN,-6.692271226946497,-3.055932072329912
A. torrentium - NCD,BAN,-3.4871403485569186,-4.472617372995499
A. torrentium - NCD,BAN,-1.4800626511561048,-5.0075151918791105
A. torrentium - NCD,BAN,-5.229283543508099,-2.8389993732780567
A. torrentium - NCD,BAN,-6.273943819195799,-3.0646693969605114
A. torrentium - NCD,BAN,-7.810245258642962,-2.679090983373355
A. torrentium - NCD,BAN,-7.796598633531021,-1.830830883633793
A. torrentium - CSE,CSE,9.507597157955816,-4.682916743874577
A. torrentium - CSE,CSE,19.769162091628214,5.2042670015953325
A. torrentium - CSE,CSE,-0.17461391658491462,3.905996527025057
A. torrentium - CSE,CSE,-10.265480695251238,-3.6270046653359103
A. torrentium - CSE,CSE,-1.1136213519862548,-4.401773302977868
A. torrentium - CSE,CSE,-4.449799570583095,-3.0384458791957734
A. torrentium - CSE,CSE,-0.9735036019503923,-0.1502502088468937
A. torrentium - CSE,CSE,-7.215206255420591,-3.292312789797673
A. torrentium - CSE,CSE,-3.9767317764945544,-1.9925919896989925
A. torrentium - CSE,CSE,-3.635431549627758,-2.8776344599088692
A. torrentium - CSE,CSE,-5.915519519734124,-1.7900022909865538
A. torrentium - CSE,CSE,4.149239989302598,-1.79954293649018
A. torrentium - CSE,CSE,3.287509278143128,-3.3575147931310982
A. torrentium - CSE,CSE,-8.665149646533308,-3.0328793961791964
A. torrentium - CSE,CSE,1.4788203193273808,-6.836177318928734
A. torrentium - CSE,CSE,2.440389802000509,-3.3628569452633803
A. torrentium - CSE,CSE,-5.849064773877797,-3.3328941500199143
A. torrentium - CSE,CSE,7.782214517442877,2.2087421876272164
A. torrentium - CSE,CSE,0.8415056146494522,-5.453870965087831
A. torrentium - CSE,CSE,-3.1149477134037644,-4.189653339082008
A. torrentium - CSE,CSE,13.521979317110482,5.666952486045701
A. torrentium - CSE,CSE,-4.143947916801714,-1.2373015889663994
A. torrentium - CSE,CSE,-0.23452069938005876,-5.159699329249939
A. torrentium - CSE,CSE,3.8527288607981065,-8.788889359195
A. torrentium - CSE,CSE,0.7015814794792159,-5.3297701864324525
A. torrentium - CSE,CSE,-0.33015107542219196,-2.4797175930712507
A. torrentium - CSE,CSE,-6.4082416799601285,-2.3223648937330346
A. torrentium - CSE,CSE,5.411648355520676,5.307610740986893
A. torrentium - CSE,CSE,-4.512546291526979,-4.671653363827385
A. torrentium - CSE,CSE,-3.5249830324720377,-1.9243921797389678
A. torrentium - CSE,CSE,5.4546181916940295,-4.823309146555503
A. torrentium - CSE,CSE,0.5915245870917553,19.67743235312492
A. torrentium - CSE,CSE,11.016497260801096,-6.3998203485704
A. torrentium - CSE,CSE,6.614450032346013,-5.154537712136323
A. torrentium - CSE,CSE,3.5204464259489003,-0.9656126941562267
A. torrentium - CSE,CSE,15.984793688362446,-9.921829427154009
A. torrentium - CSE,CSE,-1.8706147888196776,0.7420515165529741
A. torrentium - CSE,CSE,-2.9219539161034307,1.0879582255056184
A. torrentium - CSE,CSE,-4.298294427097344,0.2106951767915816
A. torrentium - CSE,CSE,-6.632636118681775,0.38990690592460925
A. torrentium - CSE,CSE,-3.95985661569361,-0.5516987654297373
A. torrentium - CSE,CSE,12.822104767069193,-3.5275662741400073
A. torrentium - CSE,CSE,1.7819792985528793,-0.45898619260967255
A. torrentium - CSE,CSE,5.530865230105158,0.8527588829486833
A. torrentium - CSE,CSE,-7.508839896105029,2.3287745761493164
A. torrentium - CSE,CSE,-3.0897823881276514,-2.538808764273034
A. torrentium - CSE,CSE,5.318952541026203,0.7741826876082042
A. torrentium - CSE,CSE,-4.2201567311460755,-0.6399859008350709
A. torrentium - CSE,CSE,4.453574998897791,-2.874470094880381
